kind,ticker,status,n_rows,first,last
price,1101,OK,2742,2014-01-02,2025-03-31
price,1102,OK,2742,2014-01-02,2025-03-31
price,1103,OK,2742,2014-01-02,2025-03-31
price,1104,OK,2742,2014-01-02,2025-03-31
price,1108,OK,2742,2014-01-02,2025-03-31
price,1109,OK,2718,2014-01-02,2025-03-31
price,1110,OK,2742,2014-01-02,2025-03-31
price,1201,OK,2742,2014-01-02,2025-03-31
price,1203,OK,2742,2014-01-02,2025-03-31
price,1210,OK,2742,2014-01-02,2025-03-31
price,1213,OK,2624,2014-01-02,2025-03-31
price,1215,OK,2742,2014-01-02,2025-03-31
price,1216,OK,2742,2014-01-02,2025-03-31
price,1217,OK,2742,2014-01-02,2025-03-31
price,1218,OK,2742,2014-01-02,2025-03-31
price,1219,OK,2742,2014-01-02,2025-03-31
price,1220,OK,2742,2014-01-02,2025-03-31
price,1301,OK,2742,2014-01-02,2025-03-31
price,1303,OK,2742,2014-01-02,2025-03-31
price,1304,OK,2742,2014-01-02,2025-03-31
price,1305,OK,2742,2014-01-02,2025-03-31
price,1307,OK,2742,2014-01-02,2025-03-31
price,1308,OK,2742,2014-01-02,2025-03-31
price,1309,OK,2742,2014-01-02,2025-03-31
price,1310,OK,2742,2014-01-02,2025-03-31
price,1312,OK,2742,2014-01-02,2025-03-31
price,1313,OK,2742,2014-01-02,2025-03-31
price,1319,OK,2742,2014-01-02,2025-03-31
price,1338,OK,2742,2014-01-02,2025-03-31
price,1339,OK,2742,2014-01-02,2025-03-31
price,1512,OK,2735,2014-01-02,2025-03-31
price,1521,OK,2742,2014-01-02,2025-03-31
price,1522,OK,2742,2014-01-02,2025-03-31
price,1524,OK,2735,2014-01-02,2025-03-31
price,1525,OK,2742,2014-01-02,2025-03-31
price,1533,OK,2742,2014-01-02,2025-03-31
price,1536,OK,2742,2014-01-02,2025-03-31
price,1402,OK,2742,2014-01-02,2025-03-31
price,1409,OK,2742,2014-01-02,2025-03-31
price,1410,OK,2726,2014-01-02,2025-03-31
price,1413,OK,2732,2014-01-02,2025-03-31
price,1414,OK,2742,2014-01-02,2025-03-31
price,1417,OK,2728,2014-01-02,2025-03-31
price,1418,OK,2735,2014-01-02,2025-03-31
price,1419,OK,2742,2014-01-02,2025-03-31
